Season,Player,Nation,Pos,Age,fbref_ID
2022,Jackson Hopkins,USA,FWMF,18,8344adf5
2022,Adrien Hunou,FRA,FW,28,d14229f3
2022,Erik Hurtado,USA,FW,31,b11e6f2b
2022,Emerson Hyndman,USA,MF,26,3be1a627
2022,Franco Ibarra,ARG,MF,21,db6540c5
2022,Sebastien Ibeagha,USA,DF,30,41ba8175
2018,Tesho Akindele,CAN,FWMF,25,897304e5
2022,James Igbekeme,NGA,FWMF,27,c9ce0fc8
2022,Tega Ikoba,USA,FW,19,35d550f2
2022,Arnór Ingvi Traustason,ISL,FWMF,29,7d036b4a
2022,Lorenzo Insigne,ITA,FWMF,31,2f557579
2022,Nicolas Isimat-Mirin,FRA,DF,30,14e8e9d7
2022,Aljaž Iva?i?,SVN,GK,28,4d6e50d8
2022,Stanislav Ivanov,BUL,FWMF,23,0cafba94
2022,Robin Jansson,SWE,DF,30,8ca5c176
2022,Franco Jara,ARG,FW,34,413cce14
2022,Andres Jasson,USA,DF,20,31d049b2
2022,Corentin Jean,FRA,FWMF,27,7d9b37bf
2022,Cal Jennings,USA,FW,25,44f6672a
2022,Hector Jiménez,USA,DF,33,2dc1e90e
2022,Jesús Jiménez,ESP,FW,28,1e161d47
2022,Sean Johnson,USA,GK,33,c164335e
2022,Alistair Johnston,CAN,DF,24,4fb17e20
2022,DeJuan Jones,USA,DF,25,10d1139c
2022,Derrick Jones,USA,MF,25,93c92d6c
2022,Joevin Jones,TRI,DFFW,31,fc23d956
2022,Jony,ARG,FW,28,60665492
2022,Juan José Sánchez,COL,DF,24,1835f053
2022,Dejan Jovelji?,SRB,FWMF,23,95a24690
2022,Kamil Jó?wiak,POL,FWMF,24,bd4e3824
2022,Judson,BRA,MF,29,e1535f82
2022,Anderson Julio,ECU,FWMF,26,f907a6a8
2022,Florian Jungwirth,GER,DFMF,33,f179c207
2022,Sam Junqua,USA,DF,25,91981d97
2022,Chris Kablan,SUI,DFMF,27,04159652
2022,Kristijan Kahlina,CRO,GK,30,53e360bb
2022,Brent Kallman,USA,DF,32,2b24702b
2022,Kei Kamara,SLE,FW,38,6e3f3809
2022,Ola Kamara,NOR,FWMF,33,e134351a
2022,Bernard Kamungo,TAN,FWMF,20,186acc62
2022,Alec Kann,USA,GK,32,4a8af93c
2022,Johan Kappelhof,NED,DF,32,465015a5
2022,Wilfrid Kaptoum,CMR,MF,26,d717630e
2022,Ercan Kara,AUT,FW,26,540c9a17
2022,Mark-Anthony Kaye,CAN,MF,27,36a38acd
2022,Kipp Keller,USA,DF,22,fe5fea9f
2022,Jon Kempin,USA,GK,29,063adc5e
2022,Deandre Kerr,CAN,MFFW,19,a3e85f7b
2022,Henry Kessler,USA,DF,24,23c75879
2022,Nabilai Kibunguchy,USA,MF,24,3b114bfc
2022,Benjamin Kikanovic,USA,FWMF,22,fe11d61b
2022,Patryk Klimala,POL,FW,24,0bf3c11c
2022,Sacha Kljestan,USA,MF,37,73682895
2022,Brad Knighton,USA,GK,37,9903a3cb
2022,Žan Kolmani?,SVN,DF,22,4501fd21
2022,Ismaël Koné,CAN,MF,20,e0220b70
2022,Damir Kreilach,CRO,MFFW,33,068be155
2022,Theodore Ku-Dipietro,USA,FWMF,20,ef7c10e0
2022,Yuya Kubo,JPN,MF,28,cba16a46
2022,Jojea Kwizera,CGO,DFMF,23,cc61360d
2022,Lassi Lappalainen,FIN,DF,24,bcb2282d
2022,Jesús David Murillo Largacha,COL,DF,28,68d48a71
2022,Richie Laryea,CAN,DF,27,276fdbe4
2022,Ariel Lassiter,CRC,FWMF,28,bd7b916c
2022,Vuk Latinovich,USA,DF,25,5c0e047a
2022,Kemar Lawrence,JAM,DF,30,80be3efe
2022,Randall Leal,CRC,MFFW,25,874a5031
2022,Kelvin Leerdam,SUR,DFMF,32,d8b47705
2022,Brooks Lennon,USA,DFFW,25,ec80ba72
2022,Jonathan Lewis,USA,FWMF,25,2501eb59
2022,Danny Leyva,USA,MF,19,ecc3a9c9
2022,Azaad Liadi,USA,MF,24,ba702426
2022,Nick Lima,USA,DF,27,959686eb
2022,Jaylin Lindsey,USA,DF,22,83cb6e59
2022,Sebastian Lletget,USA,FWMF,30,73019c31
2022,Robin Lod,FIN,FWMF,29,33c69aa0
2022,Nicolás Lodeiro,URU,MF,33,fe81d0d1
2022,Jasper Löffelsend,GER,MF,25,ce037639
2022,Aaron Long,USA,DF,30,46b89640
2022,Marcos López,PER,DF,22,9b3ab988
2022,Marvin Loría,CRC,FWMF,25,71380d87
2022,Daniel Lovitz,USA,DF,31,db97d838
2022,Damion Lowe,JAM,DF,29,b6e2e54c
2019,Everton Luiz,BRA,MF,30,3799e138
2022,Diego Luna,USA,MF,19,e67f8af0
2022,Adam Lundqvist,SWE,DF,28,91769a24
2022,Luquinhas,BRA,MFFW,26,85937928
2022,Jack Lynn,USA,FWMF,22,c81d718e
2022,Larrys Mabiala,COD,DF,35,5bdec47f
2022,Aimé Mabika,ZAM,DF,24,3a37d349
2022,Maciel,BRA,MF,22,a39d51e0
2022,Zac MacMath,USA,GK,31,06caac45
2022,Lukas MacNaughton,USA,DF,27,b6111d16
2022,Talles Magno,BRA,FW,20,64c98878
2022,Jack Maher,USA,DF,22,0c6f2fa6
2022,Christian Makoun,VEN,MFDF,22,7efffe65
2022,Adilson Malanda,FRA,DF,20,9d83969b
2022,Machop Malual,SSD,DFFW,23,1701b012
2022,Elias Manoel,BRA,FW,20,7f19cbe0
2022,J.T. Marcinkowski,USA,GK,25,977791f4
2022,Paul Marie,FRA,DF,27,da0bb55a
2022,Anthony Markanich,USA,DF,22,565fde4a
2022,Nick Markanich,USA,FWMF,22,65988c73
2022,George Marks,USA,GK,22,e75f9dba
2022,Jahkeele Marshall-Rutty,CAN,DF,18,b9459f85
2022,Nick Marsman,NED,GK,32,f352799f
2022,Josef Martínez,VEN,FW,29,e73f0aa1
2022,Luís Martins,POR,DF,30,56b7c09b
2022,Thiago Martins,BRA,DF,27,4d6ec370
2022,Alexandru M??an,ROU,FWMF,23,3bd3bcc4
2022,Rónald Matarrita,CRC,DF,28,491862dd
2022,Jimmy Maurer,USA,GK,34,ca1c6f3d
2022,José Mauri,ITA,MF,26,644faf10
2022,Chris Mavinga,COD,DF,31,fda36cfb
2022,Max,BRA,MFFW,21,67c3efa4
2022,Olivier Mbaizo,CMR,DF,25,f6315619
2022,Hugo-Hilaire Mbongue Mbongue,CAN,FW,18,df4fe2b7
2019,Pablo Sisniega,MEX,GK,23,550557e1
2022,Dax McCarty,USA,MF,35,b74e58c0
2022,Aiden McFadden,USA,DF,24,eed1b8f6
2022,Jack McGlynn,USA,MF,19,e2b8c25c
2022,Zac McGraw,USA,DF,25,83129dc7
2022,Kendall McIntosh,USA,GK,28,d1f3e74b
2022,Thomas McNamara,USA,MFFW,31,ab36595d
2022,Quinn McNeill,USA,MF,24,2a9b1a97
2022,Christopher McVey,SWE,DF,25,149d8165
2022,Ryan Meara,USA,GK,31,18f0723b
2022,Jimmy Medranda,COL,DFFW,28,6f7ac622
2022,Haris Medunjanin,BIH,MF,37,de5d5d41
2022,Tim Melia,USA,GK,36,cc741f50
2022,Jhegson Méndez,ECU,MF,25,db0c5324
2022,Jonathan Mensah,GHA,DF,32,8087e6cb
2022,Justin Meram,IRQ,MFFW,33,ae34c71d
2022,Romain Métanire,MAD,DF,32,0fb21da9
2022,Nicolás Mezquida,URU,MFFW,30,00b629e1
2022,Matt Miazga,USA,DF,27,9fc0f253
2022,Micael,BRA,DF,22,ea95d7a6
2022,Benji Michel,USA,FWMF,24,151ca25f
2022,Djordje Mihailovic,USA,MFFW,23,83cf9719
2022,Matko Miljevic,USA,MFFW,21,74b76abc
2022,Eric Miller,USA,DF,29,c0593f5d
2022,Kamal Miller,CAN,DF,25,0646bd8a
2022,Tyler Miller,USA,GK,29,7827a6b3
2022,Kevin Molino,TRI,FWMF,32,371645ca
2022,Alex Monis,USA,FW,19,66db9e72
2022,Jamiro Monteiro,CPV,MF,28,d384bddd
2022,Fredy Montero,COL,FWMF,35,bc5b5be5
2022,Kim Moonhwan,KOR,DF,27,6bce7dd8
2022,Drew Moor,USA,DF,38,220cf869
2022,Shaquell Moore,USA,DF,25,3b9f859b
2022,Felipe Mora,CHI,FW,29,f4b0ea46
2022,Joseph Mora,CRC,DF,29,2af71023
2022,Alfredo Morales,USA,MFDF,32,ff45add5
2022,Maximiliano Moralez,ARG,MF,35,f99f37fc
2022,Steven Moreira,FRA,DF,28,f10983ae
2022,Junior Moreno,VEN,MF,29,5dcb4ac4
2022,Marcelino Moreno,ARG,MFFW,28,058c938c
2022,Santiago Moreno,COL,FWMF,22,3261d0e4
