,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
138,Justin Davis,us USA,DF,Minnesota Utd,28,1988,8,5,495,5.5,0,0,0,0,0,0,1,0,0,0,0,0,Matches,a4910f05
139,Sean Davis,us USA,MFFW,NY Red Bulls,23,1993,27,21,1788,19.9,2,2,2,0,0,5,0,0.1,0.1,0.2,0.1,0.2,Matches,cb75cac9
140,Simon Dawkins,jm JAM,MF,San Jose,29,1987,14,7,639,7.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9db762f1
141,Christian Dean,us USA,DF,Vancouver,23,1993,3,3,238,2.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches,8c2098b6
142,Christian Dean,us USA,DF,Chicago Fire,23,1993,3,2,221,2.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8c2098b6
143,A.J. DeLaGarza,gu GUM,DF,Houston Dynamo,29,1987,30,30,2622,29.1,0,3,0,0,0,8,0,0,0.1,0.1,0,0.1,Matches,171b3c37
144,Antonio Delamea Mlinar,si SVN,DF,New England,25,1991,29,29,2546,28.3,1,2,1,0,0,6,1,0.04,0.07,0.11,0.04,0.11,Matches,31a14bb4
145,Jordy Delem,mq MTQ,DFMF,Seattle,23,1993,14,9,755,8.4,0,0,0,0,0,3,0,0,0,0,0,0,Matches,12e3a5f4
146,Nick DeLeon,us USA,DFMF,D.C. United,26,1990,19,18,1591,17.7,0,0,0,0,0,3,0,0,0,0,0,0,Matches,21490b0d
147,Marky Delgado,us USA,MF,Toronto FC,21,1995,26,25,2063,22.9,3,2,3,0,0,1,1,0.13,0.09,0.22,0.13,0.22,Matches,7f6a25b7
148,Vadim Demidov,no NOR,DF,Minnesota Utd,30,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,59f3b22d
149,Clint Dempsey,us USA,MFFW,Seattle,33,1983,29,25,2278,25.3,12,4,10,2,3,3,1,0.47,0.16,0.63,0.4,0.55,Matches,523d9de6
150,Nick DePuy,us USA,FW,Montreal Impact,22,1994,5,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ba7b4e67
